Title,Abstract,Budget,Research_Impact,References,Institution,Applicant_Experience,Funded
Realigned context-sensitive access,Rule parent say out relationship green. Either light price me research try drop. Reason peace fight open economy. Fear will interview safe still hot body peace. Attention prove west accept.,124044,2,22,UC Berkeley,5,0
Balanced needs-based service-desk,Concern local boy figure your several although always. Particular red bring give inside hospital. Develop project under join dream business well. Continue truth seven though significant agreement. Say single reach thousand history fear human.,34411,1,23,Stanford,1,0
De-engineered 4thgeneration collaboration,Three system expect feeling traditional day view husband. Process former road everybody positive two someone deep. Fine answer them but.,165952,10,32,Harvard,15,1
Ergonomic eco-centric infrastructure,Some education daughter alone. Few region help thought. Performance away while draw similar. Avoid consider sing trip. New miss great detail.,114902,10,37,Caltech,4,1
Devolved systemic Local Area Network,Miss head focus close. Western small media record project. Entire issue avoid church fact. Night race site degree guy. Wall church event travel. Federal above who staff increase play right particularly.,51644,4,42,Oxford,21,1
Up-sized static task-force,Sort nor decision ready security become enter dog. Daughter could center safe. Knowledge box man shake if model. So first different sign stage herself brother. Structure professional fine follow best bit the.,167358,3,1,Oxford,8,0
Open-source scalable array,Across vote treat only southern Mr can during. Management ask understand. Edge agreement mouth end low.,135898,10,37,Oxford,5,1
Persevering web-enabled circuit,City election hotel take expert girl. Which soon actually large. Suddenly song try necessary though since on. Foot suddenly body type inside. Feel east culture stop. Beyond big some agree plan especially police.,112751,1,23,Oxford,13,0
Switchable intermediate definition,Mr likely send better time few every line. Standard that southern job alone effect seek. Central democratic fish could decision remember room. Situation total along movie him while. Big term week. Building interview physical hot.,88022,6,8,Imperial College London,29,1
Re-engineered stable knowledge user,Skin positive poor happen bad seven. Share real room that style. About star marriage black.,184162,2,40,Oxford,25,1
Integrated actuating open architecture,White once recent gun protect. Watch total the board. Easy identify miss what. Respond everything year think either read. Involve about your through west agency.,184608,2,42,Harvard,17,1
Universal fresh-thinking utilization,Blood pull last wide natural career. Reflect rich color main career. After our scene represent care suddenly across. Plant until investment run. Statement present degree senior collection.,16613,9,8,UC Berkeley,5,0
Quality-focused cohesive moratorium,Matter research son evidence. These above study describe well one. Alone toward leave western head response. Week still well upon contain job miss. Heavy state house year so.,22425,8,44,Oxford,22,1
Seamless didactic workforce,Hotel poor Democrat ability thank picture. Yourself ok one owner who a yourself. Serve off tell citizen visit. Quite young provide ok. Child set admit specific large create professor foot.,95932,10,49,Stanford,28,1
Total modular intranet,Future effect arrive. Share free wind every sea could. Measure help end teach have student. Health poor down miss.,27245,10,3,Harvard,3,1
Digitized object-oriented implementation,Glass even woman indicate. You administration door assume increase performance. Add radio visit stock stage possible. Eye probably school. Sometimes consider happy cut opportunity ask.,18720,5,36,Caltech,3,0
Realigned bifurcated focus group,Necessary civil second new Republican staff you. Example rather well break material happy. Support change participant direction crime sister. Tree amount class perform rather. Security let fire.,134554,9,34,Imperial College London,22,1
Reverse-engineered tertiary middleware,Something indeed itself meet finish treat bill live. Democrat day he city case beat. Bad inside wall treatment must fast sea. Phone later large let. Interest these church only friend also medical.,133653,7,6,Stanford,28,0
Self-enabling zero administration architecture,Suggest official age social government figure part. Toward think history job however itself. Value believe recognize image always sound. Time back future article natural get. Least together recently door executive. People discuss my.,97760,10,40,University of Tokyo,0,1
Configurable systematic access,Which per help sell old. Loss two whom worker. Best too grow scene thing American part. Old woman message interesting treatment including prove him. Black present play election. Color interview level cost.,158058,5,36,University of Tokyo,24,0
Reduced attitude-oriented intranet,Knowledge relationship affect offer chance amount most. Attorney garden certainly almost movement. Hair among accept international administration keep. Eat member I above represent window story.,52429,5,3,Cambridge,8,1
Adaptive motivating concept,Peace society say first community sure democratic. Effect happy sit must drop. Campaign fire car. Term notice face in for very tell. Second help campaign mention follow.,37941,4,39,Cambridge,4,0
Pre-emptive bifurcated system engine,Bag interview meeting. Deep plan what paper single. Activity culture hospital issue address. Democratic attack without blood here wall everyone. Her which everything catch in.,155835,10,9,Caltech,16,0
Implemented regional help-desk,Future job wait citizen civil. Want garden unit several. Force start probably nearly wish recently health. Series around and his soldier again lead.,74261,10,29,Harvard,0,0
